Pavarde Vardas  ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Vasiliauskas Titas 7 5 6 5 4 8 4 6 3 6 9
Bacevi?ius Kajus 9 9 4 7 6 6 6 4 6 3 3
?epas Jonas 2 3 9 4 5 1 2 2 3 10 3
Mikalauskas Tomas 4 10 10 1 10 8 8 10 7 9 9
Valantinas Dominykas 4 7 3 10 2 9 5 10 8 7 3
Vasiliauskas Paulius 2 2 4 4 9 2 3 5 6 1 4
Vasiliauskas Benas 8 3 1 1 4 2 8 1 10 1 9
Stankevi?ius Ignas 1 8 7 7 10 6 3 9 3 3 10
Maeika Arnas 6 8 5 7 10 7 8 2 7 6 10
Pocius Mantas 9 2 1 4 10 6 9 8 9 5 4
Maeika Nojus 9 1 4 2 10 1 3 10 3 7 1
Kairys Lukas 4 5 7 3 2 10 10 7 10 3 8
Pocius Arnas 10 2 1 6 7 8 8 2 2 4 9
Vasiliauskas Paulius 5 10 5 1 4 8 4 5 1 3 4
Stankevi?ius Dovydas 8 10 5 3 10 6 5 1 2 3 6
Kavaliauskas Titas 1 8 4 7 10 8 1 1 3 5 4
ukauskas Deividas 5 5 10 5 4 10 10 3 2 2 4
Šimkus Jonas 2 7 8 7 4 7 5 3 5 8 2
Pocius Laurynas 5 1 10 6 7 8 1 3 9 1 8
Kairys Paulius 10 6 8 8 8 5 3 10 6 2 8
Sadauskas Vilius 5 8 6 9 7 10 1 4 2 3 10
Giedraitis Adomas 8 5 4 2 5 6 8 6 6 6 4
Maeika Lukas 1 5 7 1 7 9 6 1 9 5 9
Kavaliauskas Titas 10 9 7 7 6 1 10 2 5 2 4
Jankauskas Dovydas 4 6 8 2 2 10 4 9 4 7 1
Valantinas Nojus 9 1 6 7 3 4 1 8 3 2 7
Sadauskas Andrius 3 6 10 10 3 7 9 1 1 6 2
Maeika Titas 10 1 6 2 10 2 7 1 5 7 2
Bacevi?ius Nojus 9 2 7 8 9 6 4 3 6 6 1
Kairys Dovydas 6 1 6 1 6 5 6 3 3 4 8
?epas Tomas 2 7 1 6 6 10 3 1 7 3 7
Grigaitis Adomas 1 10 6 1 2 9 4 2 3 1 8
Šimkus Laurynas 8 10 4 1 6 4 3 5 8 8 7
Pocius Dovydas 10 3 10 3 9 2 10 6 5 6 3
ukauskas Ignas 3 4 5 10 1 8 5 5 1 1 7
?epas Ignas 2 3 3 9 8 8 10 4 5 3 4
Sadauskas Kajus 8 10 4 5 3 7 10 4 3 8 7
Šimkus Martynas 2 8 3 3 4 3 5 10 7 7 5
Šimkus Vilius 7 9 8 4 1 10 10 5 5 4 1
Valantinas Ignas 9 2 1 1 2 2 2 3 1 1 8
Stankevi?ius Arnas 3 1 6 10 2 6 6 7 1 3 5
Grigaitis Lukas 8 9 10 9 5 10 5 10 2 10 8
ukauskas Paulius 4 6 4 7 4 8 6 5 5 7 6
Grigaitis Adomas 6 1 2 2 9 10 8 6 5 2 8
Petrauskas Benas 7 4 10 1 1 5 9 7 6 4 10
Giedraitis Adomas 1 8 9 5 2 8 8 6 7 9 7
Giedraitis Mantas 6 10 10 9 7 9 3 1 2 10 9
Paulauskas Titas 4 3 8 5 1 1 4 2 5 3 6
Maeika Jonas 8 4 8 7 1 2 1 6 1 3 2
Sadauskas Rokas 4 8 9 8 1 5 9 9 2 8 2
Mikalauskas Jonas 6 5 4 7 9 4 3 4 6 1 10
Grigaitis Benas 8 3 6 5 10 3 2 2 9 1 1
Pocius Arnas 9 7 5 4 5 10 6 3 4 8 9
ukauskas Nojus 2 2 5 1 8 9 1 6 6 9 3
Jankauskas Mantas 8 4 4 5 8 1 7 9 7 4 2
Sadauskas Jonas 10 3 10 7 5 5 3 7 2 6 7
Kairys Benas 8 9 2 6 10 2 4 5 10 4 4
Grigaitis Lukas 8 6 6 4 3 7 6 1 8 9 6
Jankauskas Deividas 2 7 6 9 9 9 3 8 7 6 8
Vasiliauskas Jonas 5 6 1 4 7 8 8 1 10 7 10
Grigaitis Nojus 3 3 9 1 3 10 8 3 7 5 7
Giedraitis Rokas 9 6 4 10 8 8 8 1 5 5 2
Maeika Dominykas 2 6 3 2 6 9 2 9 5 7 1
Giedraitis Kajus 3 4 2 3 7 1 7 5 7 1 2
Sadauskas Adomas 9 4 8 2 2 2 8 9 7 5 8
Kairys Lukas 1 9 6 7 8 8 4 10 4 4 8
Petrauskas Dominykas 5 7 9 5 8 9 6 10 9 6 10
Mikalauskas Martynas 5 10 4 5 1 7 1 3 9 5 9
Kazlauskas Tomas 3 7 5 8 3 7 7 6 3 1 1
Maeika Adomas 2 10 4 4 1 3 5 10 8 4 3
Kavaliauskas Tomas 7 9 3 3 6 9 2 2 2 1 4
Pocius Titas 10 3 9 2 6 7 1 8 6 8 9
Grigaitis Vilius 9 4 5 9 7 1 8 3 9 9 2
Pocius Tomas 4 2 5 10 7 8 5 9 1 7 1
Valantinas Dovydas 8 9 5 9 2 7 5 5 4 1 8
Sadauskas Kajus 6 9 9 3 1 8 1 4 6 10 6
Šimkus Dominykas 6 8 7 5 1 6 10 5 2 6 6
?epas Martynas 8 1 5 1 4 10 7 1 2 7 10
Grigaitis Paulius 3 9 6 4 7 8 5 3 1 4 2
Kazlauskas Arnas 5 6 6 1 4 9 10 5 2 7 2
Bacevi?ius Andrius 9 3 10 5 9 8 10 7 4 4 4
Stankevi?ius Tomas 3 8 2 5 7 4 7 2 1 2 7
Stankevi?ius Mantas 7 9 9 9 8 7 9 1 3 6 4
Sadauskas Dovydas 10 9 9 10 2 2 4 10 5 2 1
?epas Titas 8 3 1 3 7 9 10 6 6 4 3
Paulauskas Ignas 2 3 6 10 6 9 7 7 9 6 1
Kazlauskas Laurynas 1 3 7 5 5 8 1 1 4 4 1
Kazlauskas Deividas 8 2 6 3 9 1 5 10 7 3 8
Vasiliauskas Dominykas 8 1 8 1 9 2 1 7 3 5 4
Kavaliauskas Dominykas 5 5 7 6 8 7 10 2 9 1 10
Maeika Benas 2 4 2 1 7 9 10 1 8 10 6
Sadauskas Tomas 5 5 7 7 6 2 10 5 7 6 7
Paulauskas Mantas 6 6 4 7 8 4 6 7 7 3 3
Stankevi?ius Rokas 3 3 6 9 4 10 3 5 2 10 8
Giedraitis Martynas 6 1 8 1 5 2 9 6 5 5 5
Maeika Mantas 3 3 10 9 8 7 10 9 3 9 7
Maeika Lukas 3 3 5 2 10 4 9 10 4 10 5
Jankauskas Dovydas 2 3 6 9 8 6 4 6 7 7 1
Mikalauskas Dovydas 10 2 8 8 2 10 9 1 4 3 9
ukauskas Andrius 5 2 3 9 5 10 5 3 7 5 10
ukauskas Dovydas 7 3 4 9 4 4 4 1 9 1 6
Valantinas Ignas 9 8 6 5 1 3 3 1 6 5 1
Grigaitis Jonas 7 3 4 8 1 9 8 9 7 5 10
Maeika Paulius 7 7 10 7 10 7 3 2 1 10 5
Grigaitis Dominykas 8 6 3 10 10 1 8 8 10 7 10
Giedraitis Dovydas 8 6 10 9 9 9 9 6 9 8 10
Jankauskas Kajus 10 7 10 1 5 8 7 9 7 2 4
Vasiliauskas Benas 7 2 5 1 3 6 5 5 8 1 8
Pocius Vilius 5 9 4 4 7 9 4 6 8 3 1
Pocius Lukas 4 10 10 9 10 1 8 8 6 8 7
Maeika Paulius 7 5 10 7 6 5 10 6 10 7 8
Giedraitis Laurynas 5 4 5 8 4 6 3 6 6 2 4
Kavaliauskas Martynas 10 9 3 9 10 10 10 8 2 9 3
Šimkus Adomas 4 4 9 3 3 5 2 8 8 10 1
ukauskas Kajus 7 8 5 7 4 6 4 2 1 6 8
Šimkus Titas 5 2 3 2 1 2 4 8 4 10 3
Valantinas Benas 6 1 8 8 3 8 2 9 3 8 6
Kairys Rokas 10 9 1 3 1 10 7 5 5 5 8
Kazlauskas Paulius 10 2 9 9 3 9 3 2 10 7 7
Paulauskas Ignas 2 9 8 2 2 2 7 2 4 4 4
Valantinas Jonas 10 6 3 3 8 1 6 9 7 9 5
Petrauskas Martynas 3 6 3 4 7 6 4 8 4 5 6
Šimkus Arnas 7 2 4 6 8 8 1 6 7 8 1
Kavaliauskas Martynas 1 5 8 4 10 2 7 4 7 1 8
Mikalauskas Titas 4 6 5 1 7 1 9 4 7 4 6
Jankauskas Nojus 6 1 1 8 2 7 5 4 5 7 1
Bacevi?ius Nojus 4 10 6 3 4 3 7 1 7 4 10
Vasiliauskas Dovydas 5 3 2 3 1 9 1 4 5 8 3
Vasiliauskas Titas 3 5 9 8 10 5 8 10 9 9 2
Kairys Deividas 7 9 8 8 7 5 8 4 9 6 4
Paulauskas Nojus 6 1 1 10 2 2 4 5 4 9 2
Šimkus Vilius 7 10 7 10 7 1 8 7 9 4 8
ukauskas Jonas 4 9 4 7 7 3 8 8 6 10 3
Kavaliauskas Martynas 7 7 4 3 5 3 7 10 6 2 6
Grigaitis Ignas 3 1 7 7 3 4 6 2 3 10 4
Noreika Kajus 5 9 10 5 7 4 8 8 8 1 4
Sadauskas Arnas 8 5 6 4 4 2 1 10 5 10 6
Maeika Martynas 6 6 9 8 2 9 8 10 2 9 7
Mikalauskas Adomas 10 9 1 6 9 7 5 9 6 9 5
Kairys Mantas 6 9 9 4 1 3 6 8 6 2 1
Šimkus Paulius 5 10 1 7 5 9 5 6 4 1 10
Bacevi?ius Arnas 3 9 4 1 3 2 1 4 2 10 7
Stankevi?ius Martynas 7 8 4 8 5 4 1 10 7 1 9
Bacevi?ius Mantas 1 6 6 9 7 7 3 8 4 1 6
Sadauskas Andrius 5 5 3 6 8 3 5 4 9 10 3
Bacevi?ius Mantas 3 8 2 2 3 5 8 9 6 4 3
Vasiliauskas Deividas 3 4 3 10 5 9 7 10 1 8 3
?epas Paulius 1 1 9 1 3 6 3 3 5 10 8
Kazlauskas Rokas 3 9 9 7 1 8 5 4 8 9 5
Sadauskas Lukas 6 9 8 2 2 4 6 10 10 2 2
Noreika Vilius 10 5 6 2 5 2 5 8 2 10 2
Maeika Adomas 2 1 2 2 2 1 4 2 1 3 10
Maeika Paulius 5 3 2 9 8 7 2 3 1 5 6
Maeika Deividas 1 9 10 8 6 2 2 6 3 5 4
Jankauskas Mantas 3 9 9 7 3 9 3 6 9 8 8
Valantinas Vilius 5 9 4 6 4 3 6 4 2 1 7
Kazlauskas Mantas 2 8 7 9 6 10 10 5 10 10 10
Stankevi?ius Kajus 9 1 9 1 4 2 3 6 6 7 10
Giedraitis Lukas 9 9 1 1 1 6 1 6 10 8 6
ukauskas Dovydas 5 4 7 4 9 9 9 1 1 5 2
Jankauskas Titas 8 1 8 4 3 2 7 10 6 6 9
Grigaitis Adomas 10 7 4 1 6 10 5 9 7 2 3
Giedraitis Martynas 4 9 9 5 2 7 6 7 4 3 3
Giedraitis Jonas 7 3 4 10 8 6 8 5 3 8 4
Giedraitis Dominykas 1 5 5 6 9 9 9 1 9 9 6
Petrauskas Kajus 8 3 4 9 9 10 4 2 5 6 10
Bacevi?ius Laurynas 3 7 5 6 1 2 3 3 2 2 3
Jankauskas Martynas 9 1 4 7 9 8 8 5 7 7 4
Kairys Lukas 4 3 6 2 3 8 3 3 7 7 4
Šimkus Benas 10 1 7 8 5 7 6 5 8 3 9
Mikalauskas Paulius 7 9 1 7 7 10 6 5 6 6 1
ukauskas Laurynas 3 6 6 5 10 6 10 7 10 1 7
Kazlauskas Lukas 6 4 6 4 9 6 6 7 9 7 1
Maeika Deividas 1 7 2 2 4 4 1 10 4 2 7
Maeika Ignas 1 8 3 8 10 5 7 4 5 1 10
Stankevi?ius Rokas 1 10 2 2 2 7 10 7 5 5 2
Bacevi?ius Dominykas 4 8 4 3 6 7 5 1 4 5 5
Šimkus Dominykas 3 6 2 6 2 6 5 3 2 1 6
Grigaitis Titas 8 7 8 3 7 8 1 2 9 9 4
Maeika Jonas 8 8 9 2 7 10 7 5 5 3 6
?epas Paulius 10 10 2 10 3 8 7 8 5 10 3
Noreika Titas 8 6 5 7 6 7 2 1 3 3 4
Petrauskas Deividas 9 7 8 6 2 1 1 8 2 8 1
Stankevi?ius Deividas 9 9 8 6 6 3 8 7 5 5 6
Šimkus Andrius 8 9 9 8 2 3 3 9 6 2 9
Valantinas Mantas 7 6 6 10 5 9 4 3 9 8 9
Kavaliauskas Deividas 7 8 1 3 7 6 9 2 9 9 6
Petrauskas Vilius 1 2 5 6 10 2 8 1 7 7 10
Vasiliauskas Dominykas 6 4 10 2 10 2 8 4 10 3 7
Bacevi?ius Kajus 2 5 10 10 7 5 6 2 1 4 10
Kazlauskas Rokas 7 5 2 4 7 9 2 8 5 4 4
Kazlauskas Deividas 4 7 4 10 8 10 4 2 2 6 10
ukauskas Nojus 6 4 8 8 8 9 4 1 7 5 6
?epas Deividas 5 6 3 3 3 8 6 8 7 1 8
Kairys Arnas 5 4 8 6 3 9 4 1 10 4 7
Giedraitis Dominykas 9 2 7 2 6 9 5 10 1 1 10
Grigaitis Deividas 2 4 4 4 8 2 8 6 6 10 4
Noreika Rokas 6 1 4 6 10 1 5 8 6 8 10
Sadauskas Andrius 1 6 5 8 4 10 2 7 1 1 3
Valantinas Vilius 10 8 9 3 1 9 6 9 1 5 10
Paulauskas Laurynas 2 8 6 3 2 9 1 5 1 7 3
Jankauskas Lukas 3 3 5 5 1 5 7 10 6 9 5
Maeika Dominykas 4 6 8 1 6 2 7 2 3 2 3
Valantinas Tomas 4 3 5 6 4 9 2 10 6 6 8
Noreika Lukas 4 5 10 4 8 4 5 7 3 2 6
Kavaliauskas Mantas 3 9 5 2 1 2 7 4 5 1 3
Sadauskas Laurynas 3 10 2 10 6 4 7 4 6 10 2
Stankevi?ius Titas 10 1 5 8 9 4 1 5 6 1 6
Kazlauskas Tomas 4 1 4 10 2 1 1 4 2 1 3
Bacevi?ius Ignas 4 7 5 7 5 7 8 8 7 7 2
Jankauskas Arnas 6 7 5 2 4 3 9 6 1 3 10
Maeika Kajus 4 6 2 4 2 4 10 9 1 2 10
Grigaitis Rokas 6 3 9 3 5 1 5 6 2 10 9
Grigaitis Andrius 7 7 6 1 6 9 10 3 6 6 3
Stankevi?ius Deividas 6 8 7 4 9 5 10 9 5 8 4
?epas Dominykas 10 3 8 4 2 10 8 1 4 8 4
Paulauskas Jonas 3 4 7 6 9 7 3 4 9 5 8
Jankauskas Nojus 6 2 7 8 3 6 3 5 2 5 6
Noreika Jonas 3 6 4 3 6 10 8 2 3 7 1
?epas Kajus 9 1 10 9 10 4 9 10 1 6 1
Grigaitis Martynas 6 10 7 9 2 6 6 2 7 8 5
Bacevi?ius Laurynas 8 2 1 9 2 2 5 2 2 1 4
Vasiliauskas Kajus 8 10 10 9 9 2 2 3 3 3 2
ukauskas Deividas 3 5 10 3 9 7 8 9 9 9 9
Pocius Arnas 1 4 10 10 2 10 10 10 7 2 7
Mikalauskas Vilius 9 10 2 2 5 9 6 3 9 9 5
?epas Martynas 6 10 8 4 3 6 3 7 3 7 9
Pocius Vilius 6 1 7 9 6 8 4 2 2 9 7
Pocius Laurynas 8 10 2 3 8 8 2 8 4 1 10
ukauskas Adomas 4 5 2 7 1 4 3 9 2 5 6
Kazlauskas Ignas 10 3 5 6 6 5 10 2 2 3 7
Petrauskas Tomas 6 1 5 3 3 6 2 5 3 8 7
Šimkus Tomas 5 6 4 1 1 5 6 1 1 8 4
ukauskas Kajus 9 8 1 3 6 1 2 3 9 2 7
Mikalauskas Benas 9 4 5 5 6 3 1 2 8 8 10
Giedraitis Mantas 3 10 3 10 3 5 7 7 9 6 3
Pocius Paulius 2 9 8 7 2 4 2 5 2 9 7
Jankauskas Mantas 1 9 3 7 8 2 8 1 7 7 8
Jankauskas Lukas 7 3 2 4 10 3 1 10 4 8 2
Petrauskas Tomas 7 7 10 10 8 10 7 1 3 10 10
Kairys Dominykas 7 1 10 4 7 8 3 2 5 8 8
Maeika Titas 4 1 2 4 7 8 6 1 10 7 7
Stankevi?ius Deividas 2 9 10 6 2 10 2 2 2 10 1
Giedraitis Vilius 9 9 2 3 5 4 4 3 4 2 4
ukauskas Paulius 8 3 6 2 4 1 3 6 6 2 2
Paulauskas Laurynas 4 5 6 5 5 1 1 2 8 7 3
Petrauskas Paulius 2 5 7 1 10 4 4 7 10 4 9
Sadauskas Tomas 9 9 6 1 5 1 3 5 2 10 9
Šimkus Vilius 3 4 4 1 1 8 5 1 2 6 6
Mikalauskas Martynas 10 6 10 7 9 8 9 5 7 5 8
Stankevi?ius Tomas 2 8 1 7 7 7 10 7 9 2 10
Sadauskas Nojus 7 1 3 4 8 5 8 1 4 3 2
Šimkus Nojus 9 3 5 7 1 9 5 7 1 4 7
ukauskas Vilius 5 5 3 10 9 1 1 7 4 2 8
Pocius Kajus 6 6 4 1 10 3 10 4 1 9 6
Jankauskas Vilius 2 8 9 10 5 9 1 3 4 10 3
?epas Dovydas 3 6 6 8 6 2 5 5 7 7 2
Kazlauskas Ignas 7 2 8 3 6 10 8 6 5 4 3
Giedraitis Ignas 8 4 9 5 10 5 2 4 3 7 10
Pocius Lukas 6 3 10 4 2 6 8 2 1 9 2
Vasiliauskas Nojus 8 2 9 5 5 4 7 7 6 2 1
Grigaitis Dominykas 9 1 6 2 10 10 5 2 2 4 9
Stankevi?ius Rokas 8 5 2 9 10 2 5 5 1 3 7
Kairys Mantas 7 9 10 5 6 7 5 9 10 5 10
Vasiliauskas Titas 5 7 2 1 6 3 8 10 4 6 5
Kairys Dovydas 8 8 10 3 7 9 1 2 8 8 4
Kazlauskas Tomas 4 7 7 7 7 7 10 2 5 8 6
Grigaitis Deividas 6 1 8 3 1 5 9 3 4 1 2
ukauskas Deividas 4 7 7 5 6 6 8 4 10 3 7
Bacevi?ius Vilius 6 7 6 4 10 9 8 4 10 4 4
Sadauskas Laurynas 5 3 5 10 4 2 7 2 1 9 7
Pocius Adomas 6 2 4 10 7 3 2 5 5 9 7
Grigaitis Tomas 3 9 3 7 9 3 4 10 3 6 4
Maeika Jonas 1 6 6 6 9 10 2 4 2 7 2
?epas Paulius 3 8 10 3 2 2 10 5 1 6 1
Pocius Ignas 2 8 10 9 7 7 3 3 5 9 6
Šimkus Titas 10 10 4 5 2 10 10 1 1 4 9
Paulauskas Mantas 10 4 9 1 3 3 2 8 2 2 3
Kazlauskas Paulius 10 2 5 8 2 6 4 10 4 6 8
Grigaitis Titas 6 6 4 2 10 6 1 10 5 6 5
Stankevi?ius Adomas 9 7 10 5 6 10 7 3 8 5 7
Petrauskas Adomas 1 5 4 6 5 9 8 10 4 6 10
Kazlauskas Tomas 5 4 9 8 3 3 2 9 3 7 1
Jankauskas Lukas 4 7 4 7 4 5 6 5 5 4 10
?epas Kajus 4 8 1 1 10 5 2 2 8 6 10
ukauskas Titas 9 2 3 1 5 1 2 7 10 10 3
Pocius Adomas 5 2 3 8 7 7 4 10 7 4 8
Kazlauskas Deividas 9 8 10 4 3 9 10 1 2 1 10
ukauskas Dominykas 8 8 2 7 5 3 3 10 1 6 3
Kazlauskas Mantas 4 3 8 1 7 5 3 10 9 5 5
Kairys Deividas 6 2 8 5 8 10 3 4 2 5 5
Jankauskas Andrius 3 5 6 3 9 6 8 9 10 6 7
Stankevi?ius Paulius 10 7 4 1 8 3 1 7 6 4 9
Maeika Jonas 9 3 4 5 10 8 2 3 1 4 1
Petrauskas Adomas 1 1 7 4 4 3 6 5 1 8 10
Jankauskas Laurynas 1 2 6 3 2 10 1 9 3 6 9
Kairys Jonas 3 7 2 9 3 3 4 1 2 1 10
Stankevi?ius Vilius 6 7 1 5 9 9 4 3 7 1 2
Kazlauskas Rokas 10 8 7 3 3 2 5 10 6 9 8
Kairys Tomas 8 8 8 1 6 8 4 9 9 4 6
Maeika Ignas 1 3 2 3 6 10 5 5 4 9 9
Pocius Arnas 7 4 4 4 10 9 10 2 5 1 10
Maeika Andrius 7 8 8 3 2 7 10 1 7 2 9
Sadauskas Kajus 8 1 8 10 8 4 4 6 3 9 6
Giedraitis Paulius 4 3 1 1 1 4 7 6 7 10 9
Noreika Deividas 4 10 5 2 9 8 10 5 9 4 10
Vasiliauskas Dovydas 4 7 3 4 2 5 4 3 1 4 4
Jankauskas Nojus 7 1 1 5 6 2 5 10 6 1 1
Vasiliauskas Dovydas 3 1 8 5 3 7 10 5 3 9 6
Noreika Titas 1 5 9 6 1 7 2 7 5 7 4
Vasiliauskas Laurynas 8 2 6 4 3 10 7 9 10 7 10
Pocius Tomas 5 1 7 6 1 4 10 3 10 1 2
ukauskas Ignas 8 9 2 10 8 2 10 5 4 5 8
ukauskas Titas 8 9 9 9 3 8 1 7 2 1 7
Sadauskas Dominykas 5 2 5 1 5 5 1 8 3 4 10
Pocius Andrius 2 8 8 6 8 10 7 10 5 5 4
Paulauskas Lukas 4 6 9 7 8 7 5 8 9 6 3
Petrauskas Andrius 5 9 3 3 4 3 6 7 6 7 5
Vasiliauskas Nojus 4 9 9 9 4 8 7 7 9 5 6
Maeika Deividas 9 5 2 5 2 3 1 9 7 2 1
Bacevi?ius Adomas 7 4 4 7 10 10 6 1 5 1 9
Grigaitis Nojus 1 5 10 10 9 5 7 4 10 9 7
Mikalauskas Titas 3 8 1 9 3 2 6 7 5 9 10
Giedraitis Arnas 10 6 3 3 3 1 9 4 10 1 9
Sadauskas Andrius 7 8 9 9 3 2 1 9 2 5 2
Sadauskas Vilius 7 5 2 9 9 7 8 10 10 6 7
Giedraitis Jonas 6 1 3 3 10 7 5 10 4 9 2
?epas Jonas 6 1 7 7 2 4 3 8 1 7 7
Kazlauskas Adomas 4 5 3 2 3 3 10 1 4 2 8
Noreika Vilius 4 3 10 8 6 2 9 7 3 5 6
Kairys Andrius 5 2 8 4 10 4 10 7 3 1 7
Sadauskas Tomas 6 6 8 3 7 6 2 6 8 2 4
Jankauskas Adomas 8 2 7 2 5 2 6 10 5 10 2
Valantinas Mantas 8 5 8 9 7 10 7 4 7 6 1
Sadauskas Laurynas 8 7 2 3 5 1 4 5 4 3 6
Giedraitis Dovydas 5 7 7 6 5 5 2 9 8 5 2
Pocius Deividas 3 8 2 6 10 4 10 5 10 6 6
Kairys Jonas 5 5 3 8 9 6 10 4 4 3 2
ukauskas Paulius 6 2 2 4 10 7 3 2 10 8 1
Mikalauskas Mantas 5 2 5 5 3 5 4 10 2 3 5
?epas Rokas 6 1 5 10 3 6 10 6 9 7 3
Kazlauskas Arnas 2 9 5 7 10 4 1 8 6 5 4
Maeika Ignas 5 10 2 7 7 3 6 9 5 7 9
Pocius Tomas 3 8 8 10 6 8 6 5 2 9 3
Kavaliauskas Vilius 5 2 3 9 2 1 10 3 3 2 6
Stankevi?ius Tomas 5 10 2 8 8 7 9 3 2 2 9
Grigaitis Mantas 10 6 7 7 5 6 7 10 2 10 2
Grigaitis Vilius 3 4 1 7 1 1 4 7 9 4 1
Stankevi?ius Adomas 1 5 8 9 4 2 4 7 9 8 9
Bacevi?ius Rokas 5 3 10 3 10 2 9 7 2 5 7
Jankauskas Titas 5 6 4 1 7 2 6 9 2 7 3
Kazlauskas Arnas 1 2 4 5 9 9 4 3 2 10 10
Bacevi?ius Laurynas 7 6 2 1 4 3 5 10 9 8 8
ukauskas Mantas 6 8 10 8 1 9 6 2 10 5 2
Kairys Titas 5 2 2 1 2 10 5 4 1 2 10
Bacevi?ius Benas 9 9 8 2 2 1 10 10 1 4 10
Petrauskas Vilius 3 5 8 7 4 5 5 3 9 2 5
Pocius Tomas 3 2 10 3 3 10 9 10 4 6 4
Mikalauskas Kajus 8 3 5 3 2 6 1 9 8 2 1
Bacevi?ius Dominykas 3 5 2 2 4 6 5 1 4 1 1
ukauskas Kajus 3 7 4 5 1 4 1 5 3 10 5
Grigaitis Andrius 9 5 3 5 5 2 10 6 9 1 4
Noreika Deividas 8 1 6 1 1 7 4 10 7 6 10
ukauskas Nojus 1 3 2 1 8 10 7 4 9 3 6
Grigaitis Mantas 4 2 2 3 3 10 6 3 10 4 10
Sadauskas Titas 4 1 4 6 1 8 3 9 1 6 6
Valantinas Laurynas 6 1 9 5 6 2 5 3 4 7 9
Bacevi?ius Arnas 1 9 8 1 3 1 6 9 2 10 9
Kavaliauskas Mantas 2 6 4 4 5 6 6 1 6 10 8
Vasiliauskas Adomas 3 2 10 5 4 10 9 3 6 8 4
Vasiliauskas Benas 3 1 4 2 3 1 5 9 7 1 10
Jankauskas Paulius 4 1 5 10 3 5 6 7 3 2 9
Vasiliauskas Martynas 8 8 4 3 10 1 10 5 4 5 5
Petrauskas Tomas 9 5 8 2 4 4 5 3 2 2 10
Noreika Jonas 1 3 3 6 1 6 9 4 6 9 2
?epas Rokas 4 6 3 2 8 9 2 1 10 6 10
Valantinas Paulius 1 4 9 8 4 4 6 8 9 6 8
Petrauskas Rokas 2 6 9 7 7 3 2 1 9 7 2
Vasiliauskas Jonas 3 3 7 1 2 7 4 10 10 8 3
Kavaliauskas Martynas 9 3 9 5 3 7 2 10 2 2 4
Sadauskas Dominykas 2 3 4 10 6 9 7 6 7 1 5
Kavaliauskas Benas 9 10 5 5 1 7 1 5 9 3 3
Vasiliauskas Mantas 3 2 2 1 3 8 6 8 8 6 9
Paulauskas Titas 3 9 1 5 2 2 10 4 2 1 10
Petrauskas Adomas 1 5 6 5 10 4 3 5 6 3 4
Petrauskas Adomas 8 6 3 9 6 10 6 8 3 7 8
Sadauskas Adomas 1 2 10 1 5 5 6 6 1 4 3
Petrauskas Lukas 5 2 2 5 2 5 10 8 6 1 6
Kazlauskas Rokas 4 5 6 7 5 2 9 6 1 9 5
Maeika Nojus 3 8 7 8 8 3 7 10 2 2 4
Mikalauskas Dominykas 1 10 1 5 3 2 9 8 2 1 1
Šimkus Tomas 6 4 8 1 4 1 10 5 6 2 9
Giedraitis Nojus 9 7 1 5 6 1 3 8 4 8 5
Kairys Jonas 6 1 6 7 10 1 5 1 1 1 10
Kazlauskas Benas 6 1 6 8 6 7 9 6 6 6 6
Maeika Paulius 7 2 9 5 3 3 6 9 3 3 5
Maeika Vilius 6 8 3 7 3 8 3 7 8 2 6
Vasiliauskas Dominykas 1 8 7 8 9 2 6 6 7 5 7
?epas Rokas 3 1 4 9 2 1 5 1 6 8 1
?epas Kajus 5 2 2 6 3 6 7 5 1 9 3
ukauskas Dovydas 9 2 4 7 4 7 2 6 4 10 3
Bacevi?ius Andrius 10 8 2 5 9 7 4 9 8 8 8
Maeika Kajus 3 1 5 8 4 9 6 4 5 4 3
Giedraitis Ignas 1 10 1 4 4 3 7 9 4 5 8
Giedraitis Dovydas 6 2 10 2 10 2 6 10 5 6 7
Maeika Benas 10 2 7 6 9 5 6 7 6 7 8
Kavaliauskas Titas 5 3 7 7 3 5 10 7 2 9 8
Maeika Martynas 10 9 8 5 2 1 9 9 2 2 2
Giedraitis Adomas 6 8 6 4 1 7 6 5 3 2 10
Giedraitis Laurynas 5 7 7 4 3 8 7 8 3 6 7
Kazlauskas Lukas 7 9 9 2 5 8 2 5 5 1 9
Kairys Tomas 8 1 1 3 7 1 5 8 8 8 2
Jankauskas Vilius 1 2 9 4 6 2 6 9 7 7 9
Noreika Vilius 3 9 3 2 6 10 1 5 9 8 6
ukauskas Adomas 9 8 2 8 7 5 7 3 6 5 7
Noreika Tomas 9 5 2 5 2 2 9 6 5 7 10
Kavaliauskas Titas 4 1 4 4 3 5 5 10 2 1 6
Sadauskas Paulius 10 7 5 7 8 8 2 1 3 6 8
Valantinas Andrius 9 2 8 2 3 7 6 9 3 3 6
Pocius Arnas 7 1 3 6 8 5 1 4 2 10 6
Petrauskas Rokas 1 4 9 5 8 3 6 9 3 7 2
Paulauskas Lukas 9 9 3 6 5 3 1 7 4 3 8
Jankauskas Dovydas 5 10 7 3 6 10 6 4 5 7 7
Valantinas Rokas 1 2 8 4 7 3 1 3 8 3 6
Mikalauskas Ignas 3 3 9 5 4 8 9 8 3 2 9
