Pavarde        Vardas         Galutinis (Vid.)
Deividas       Rutkauskas         7.63
Eimantas       Sabonis            9.09
Vytautas       Urbonas            6.40
Martynas       Zelvys             6.69
Edgaras        Jankauskas         7.57
Andrius        Petraitis          8.46
Ignas          Juodka             7.14
Paulius        Šimkus             8.31
Mindaugas      Žukauskas          7.40
Laurynas       Matulis            6.46
Saulius        Vaičiūnas          6.83
Martynas       Stankevičius       8.40
Vytautas       Rutkauskas         5.03
Deividas       Juodka             6.40
Deividas       Pocius             7.43
Arvydas        Bagdonas           8.17
Šarūnas        Juodka             6.49
Mantas         Balčiūnas          6.57
Tomas          Stankevičius       8.51
Gabrielius     Paulauskas         7.14
Aurimas        Paulauskas         5.63
Vytautas       Zelvys             5.00
Šarūnas        Morkūnas           5.77
Giedrius       Misevičius         5.11
Arvydas        Jankauskas         7.86
Gabrielius     Morkūnas           7.26
Eimantas       Butkus             7.97
Laurynas       Žukauskas          5.11
Mindaugas      Zelvys             5.91
Martynas       Balsys             7.43
Eimantas       Matulis            6.83
Tomas          Matulis            6.26
Andrius        Petraitis          5.91
Paulius        Balsys             5.34
Karolis        Vaitkus            6.60
Antanas        Navickas           6.40
Arvydas        Balsys             6.54
Tomas          Kazlauskas         5.26
Saulius        Stankevičius       6.14
Deividas       Urbonas            8.29
Mantas         Vaičiūnas          5.17
Ignas          Kairys             6.49
Andrius        Paulauskas         5.43
Rokas          Rutkauskas         8.14
Arvydas        Kundrotas          8.57
Gabrielius     Vaičiūnas          5.29
Vilius         Sakalauskas        5.23
Eimantas       Stankevičius       5.29
Vilius         Rutkauskas         6.06
Karolis        Matulis            6.03
Tomas          Juodka             8.31
Justinas       Balsys             7.83
Vilius         Jankauskas         6.34
Jonas          Paulauskas         6.06
Gabrielius     Kazlauskas         6.23
Antanas        Paulauskas         5.43
Arnas          Jasinskas          6.49
Jonas          Misevičius         6.09
Andrius        Navickas           6.97
Eimantas       Misevičius         7.09
Edgaras        Kundrotas          5.51
Eimantas       Zelvys             7.37
Justinas       Zelvys             7.06
Tomas          Dapkus             6.69
Giedrius       Pocius             6.57
Eimantas       Rutkauskas         7.20
Simonas        Sabonis            7.77
Andrius        Žukauskas          6.94
Saulius        Sakalauskas        6.63
Giedrius       Petraitis          6.91
Martynas       Zelvys             8.57
Mindaugas      Petrauskas         7.60
Aurimas        Matulis            5.34
Mantas         Juodka             8.03
Jonas          Kundrotas          5.37
Paulius        Petrauskas         5.34
Aurimas        Norkus             7.11
Paulius        Urbonas            7.74
Šarūnas        Balčiūnas          5.17
Saulius        Sabonis            6.66
Arnas          Navickas           6.86
Dovydas        Paulauskas         6.43
Tomas          Butkus             7.77
Paulius        Vaitkus            5.20
Martynas       Urbonas            5.83
Deividas       Morkūnas           6.06
Tomas          Navickas           5.20
Deividas       Kairys             5.83
Gabrielius     Kairys             7.09
Arvydas        Kairys             5.77
Simonas        Žukauskas          5.94
Laurynas       Kairys             5.34
Martynas       Misevičius         6.09
Tomas          Balsys             6.54
Vilius         Kairys             7.29
Vilius         Kazlauskas         6.69
Ignas          Butkus             5.46
Deividas       Matulis            7.51
Saulius        Navickas           7.34
Ignas          Žukauskas          6.43
Paulius        Paulauskas         6.49
Dominykas      Urbonas            8.51
Saulius        Petrauskas         8.69
Arvydas        Vaitkus            5.17
Simonas        Navickas           7.06
Antanas        Norkus             7.40
Laurynas       Vaičiūnas          7.03
Ernestas       Vaitkus            5.80
Vytautas       Rutkauskas         8.06
Deividas       Kundrotas          5.37
Laurynas       Kazlauskas         5.86
Eimantas       Pocius             7.03
Šarūnas        Bagdonas           7.14
Simonas        Balsys             6.23
Andrius        Vaičiūnas          5.80
Paulius        Petrauskas         7.80
Saulius        Bagdonas           6.51
Edgaras        Kairys             5.11
Mantas         Petrauskas         6.26
Rokas          Matulis            7.20
Ernestas       Petraitis          5.91
Jonas          Pocius             7.94
Mantas         Dapkus             6.60
Arvydas        Jankauskas         5.51
Arvydas        Juodka             6.37
Vytautas       Misevičius         7.97
Ignas          Žukauskas          5.71
Rokas          Paulauskas         8.40
Vilius         Butkus             5.49
Justinas       Rutkauskas         6.66
Saulius        Sakalauskas        6.94
Lukas          Pocius             5.83
Jonas          Balsys             7.26
Paulius        Sakalauskas        5.89
Deividas       Balčiūnas          5.86
Edgaras        Paulauskas         5.74
Dovydas        Dapkus             5.74
Justinas       Zelvys             6.26
Eimantas       Vaitkus            6.91
Arnas          Žukauskas          8.11
Dovydas        Urbonas            8.74
Eimantas       Vaitkus            5.00
Mantas         Stankevičius       8.09
Vytautas       Žukauskas          5.71
Martynas       Matulis            8.91
Giedrius       Morkūnas           5.17
Arnas          Žukauskas          7.34
Mantas         Šimkus             7.11
Ignas          Jasinskas          5.63
Gabrielius     Pocius             7.74
Ernestas       Jasinskas          7.00
Paulius        Šimkus             7.63
Dovydas        Vaitkus            5.03
Dominykas      Misevičius         5.91
Dominykas      Butkus             5.57
Saulius        Butkus             8.29
Andrius        Jankauskas         5.34
Ignas          Paulauskas         6.80
Giedrius       Jasinskas          6.34
Ernestas       Pocius             5.51
Saulius        Butkus             7.71
Martynas       Kundrotas          6.40
Rokas          Vaitkus            8.29
Jonas          Norkus             6.51
Lukas          Petrauskas         7.11
Mantas         Balčiūnas          7.26
Arnas          Jankauskas         6.43
Laurynas       Kazlauskas         8.34
Gabrielius     Balsys             6.49
Paulius        Jasinskas          7.26
Aurimas        Žukauskas          8.63
Jonas          Urbonas            6.60
Aurimas        Sakalauskas        8.46
Eimantas       Petrauskas         6.71
Arvydas        Šimkus             7.37
Giedrius       Butkus             6.86
Deividas       Bagdonas           9.09
Paulius        Jasinskas          7.09
Justinas       Balsys             5.17
Eimantas       Sabonis            5.34
Mindaugas      Kundrotas          6.49
Šarūnas        Kundrotas          6.17
Dovydas        Petrauskas         8.63
Gabrielius     Dapkus             7.49
Dominykas      Šimkus             5.71
Edgaras        Sakalauskas        5.77
Ignas          Kundrotas          8.20
Dominykas      Jasinskas          5.71
Deividas       Kazlauskas         7.49
Andrius        Urbonas            7.89
Gabrielius     Matulis            7.54
Dominykas      Balčiūnas          5.06
Giedrius       Pocius             7.37
Tomas          Kundrotas          7.77
Martynas       Petrauskas         6.43
Ernestas       Kundrotas          8.37
Justinas       Sabonis            6.29
Arnas          Paulauskas         5.60
Lukas          Petrauskas         5.83
Jonas          Jasinskas          7.11
Justinas       Vaitkus            5.86
Ignas          Petraitis          6.97
Vilius         Kazlauskas         5.17
Šarūnas        Vaitkus            6.31
Arvydas        Balčiūnas          8.91
Saulius        Morkūnas           7.26
Andrius        Šimkus             6.03
Eimantas       Žukauskas          6.40
Justinas       Urbonas            5.29
Ignas          Kundrotas          8.06
Ernestas       Vaičiūnas          8.34
Dovydas        Dapkus             5.29
Edgaras        Pocius             6.71
Rokas          Juodka             5.89
Šarūnas        Butkus             6.34
Saulius        Navickas           7.89
Jonas          Juodka             5.71
Arvydas        Jasinskas          6.51
Rokas          Kairys             6.40
Karolis        Kundrotas          8.06
Andrius        Navickas           8.40
Jonas          Petrauskas         7.00
Dovydas        Žukauskas          5.54
Ernestas       Paulauskas         5.80
Vytautas       Paulauskas         6.94
Eimantas       Jasinskas          5.97
Martynas       Vaitkus            7.77
Saulius        Norkus             6.69
Paulius        Kairys             7.51
Šarūnas        Sabonis            6.63
Andrius        Petrauskas         8.09
Aurimas        Vaičiūnas          5.77
Paulius        Zelvys             6.71
Gabrielius     Petrauskas         5.74
Deividas       Navickas           5.31
Justinas       Sabonis            5.14
Karolis        Stankevičius       5.23
Mindaugas      Zelvys             6.49
Mindaugas      Vaičiūnas          7.71
Paulius        Žukauskas          6.54
Antanas        Kairys             5.26
Justinas       Morkūnas           6.40
Aurimas        Vaitkus            5.57
Ernestas       Jasinskas          6.11
Simonas        Zelvys             5.00
Martynas       Paulauskas         8.51
Laurynas       Pocius             6.57
Dominykas      Žukauskas          5.06
Gabrielius     Norkus             6.11
Paulius        Balčiūnas          5.83
Giedrius       Petraitis          7.54
Vytautas       Kazlauskas         8.00
Ernestas       Dapkus             8.97
Deividas       Balsys             6.97
Giedrius       Vaičiūnas          5.23
Simonas        Jasinskas          6.31
Gabrielius     Kundrotas          6.94
Arnas          Dapkus             7.60
Martynas       Morkūnas           6.03
Andrius        Juodka             8.57
Laurynas       Kairys             7.60
Gabrielius     Kazlauskas         6.29
Aurimas        Sakalauskas        6.57
Ernestas       Bagdonas           7.31
Edgaras        Sabonis            7.69
Rokas          Petraitis          6.03
Tomas          Jankauskas         8.34
Aurimas        Rutkauskas         6.29
Lukas          Vaitkus            5.14
Simonas        Žukauskas          5.86
Ignas          Matulis            7.43
Antanas        Žukauskas          8.40
Karolis        Matulis            7.37
Dominykas      Bagdonas           5.46
Justinas       Balsys             7.46
Aurimas        Matulis            5.23
Andrius        Dapkus             8.11
Giedrius       Petrauskas         6.54
Deividas       Zelvys             6.49
Tomas          Matulis            5.74
Laurynas       Petraitis          8.40
Arnas          Jankauskas         7.89
Laurynas       Norkus             6.60
Lukas          Zelvys             6.49
Eimantas       Kazlauskas         6.37
Vilius         Balčiūnas          8.51
Ernestas       Jankauskas         6.43
Karolis        Morkūnas           7.51
Justinas       Paulauskas         7.66
Ernestas       Pocius             5.00
Arvydas        Stankevičius       5.51
Ernestas       Petraitis          8.14
Aurimas        Stankevičius       7.23
Jonas          Petrauskas         8.00
Vytautas       Kundrotas          6.51
Šarūnas        Sabonis            7.40
Lukas          Vaitkus            7.17
Saulius        Vaitkus            8.40
Eimantas       Stankevičius       7.60
Edgaras        Vaičiūnas          5.57
Saulius        Kairys             7.80
Vytautas       Navickas           6.17
Deividas       Dapkus             8.29
Laurynas       Misevičius         6.83
Mindaugas      Morkūnas           5.83
Simonas        Norkus             5.26
Justinas       Sakalauskas        6.97
Karolis        Paulauskas         5.69
Antanas        Butkus             6.34
Jonas          Pocius             5.40
Justinas       Rutkauskas         7.40
Eimantas       Balsys             6.89
Saulius        Žukauskas          9.14
Justinas       Balčiūnas          6.89
Arvydas        Juodka             5.71
Deividas       Petraitis          8.34
Vytautas       Bagdonas           6.74
Lukas          Zelvys             6.91
Ignas          Rutkauskas         5.83
Mindaugas      Misevičius         6.23
Laurynas       Šimkus             6.23
Jonas          Butkus             8.11
Edgaras        Juodka             6.17
Giedrius       Misevičius         6.23
Edgaras        Jasinskas          8.34
Arvydas        Navickas           6.57
Vytautas       Dapkus             6.94
Gabrielius     Stankevičius       7.06
Eimantas       Kundrotas          6.20
Paulius        Urbonas            8.00
Gabrielius     Vaitkus            6.54
Vytautas       Rutkauskas         7.51
Mindaugas      Rutkauskas         5.77
Justinas       Sabonis            7.43
Deividas       Navickas           6.71
Tomas          Kazlauskas         5.66
Laurynas       Vaitkus            7.57
Antanas        Juodka             7.34
Justinas       Bagdonas           6.71
Vilius         Balsys             5.63
Jonas          Sakalauskas        8.86
Arnas          Rutkauskas         8.46
Deividas       Urbonas            6.51
Laurynas       Balčiūnas          5.89
Vytautas       Žukauskas          6.23
Deividas       Stankevičius       6.91
Šarūnas        Norkus             6.86
Simonas        Rutkauskas         6.83
Saulius        Petrauskas         8.00
Mindaugas      Jankauskas         6.63
Mindaugas      Pocius             7.00
Dovydas        Jasinskas          5.20
Šarūnas        Juodka             8.69
Arvydas        Urbonas            7.11
Laurynas       Urbonas            5.29
Mantas         Stankevičius       5.26
Ernestas       Žukauskas          6.71
Arvydas        Balsys             7.26
Paulius        Kazlauskas         5.49
Ernestas       Matulis            5.86
Dominykas      Stankevičius       6.20
Dominykas      Vaitkus            7.57
Justinas       Kundrotas          6.80
Eimantas       Juodka             8.20
Mindaugas      Zelvys             5.54
Giedrius       Vaitkus            8.37
Lukas          Rutkauskas         6.09
Vytautas       Urbonas            6.54
Paulius        Pocius             8.46
Karolis        Urbonas            6.31
Mindaugas      Norkus             6.20
Andrius        Kundrotas          7.26
Simonas        Rutkauskas         8.91
Šarūnas        Balsys             5.34
Vytautas       Jasinskas          6.51
Antanas        Kundrotas          7.09
Karolis        Dapkus             7.69
Aurimas        Norkus             6.69
Paulius        Sabonis            8.03
Mindaugas      Kairys             5.23
Dominykas      Jasinskas          5.54
Martynas       Matulis            7.69
Ignas          Balčiūnas          6.31
Andrius        Kundrotas          5.14
Saulius        Vaitkus            7.91
Andrius        Bagdonas           5.74
Saulius        Misevičius         8.23
Antanas        Morkūnas           6.54
Aurimas        Butkus             5.29
Vilius         Pocius             5.94
Aurimas        Vaičiūnas          5.63
Tomas          Butkus             8.00
Jonas          Butkus             9.26
Rokas          Urbonas            6.34
Antanas        Norkus             5.63
Šarūnas        Petrauskas         7.66
Ernestas       Kundrotas          5.51
Giedrius       Sabonis            8.14
Mindaugas      Rutkauskas         7.03
Arnas          Morkūnas           7.91
Vytautas       Bagdonas           6.63
Jonas          Paulauskas         6.51
Martynas       Bagdonas           7.71
Eimantas       Butkus             6.91
Justinas       Balsys             7.71
Paulius        Vaičiūnas          6.54
Eimantas       Zelvys             8.29
Simonas        Petrauskas         7.80
Gabrielius     Petrauskas         6.91
Justinas       Petrauskas         6.49
Deividas       Zelvys             7.74
Martynas       Jankauskas         7.37
Giedrius       Matulis            7.23
Vilius         Stankevičius       7.29
Mindaugas      Sakalauskas        5.00
Dovydas        Urbonas            6.23
Mantas         Juodka             7.51
Antanas        Morkūnas           5.83
Ignas          Juodka             7.26
Aurimas        Dapkus             6.71
Mantas         Dapkus             6.57
Justinas       Norkus             7.40
Dovydas        Navickas           5.60
Deividas       Dapkus             6.14
Giedrius       Misevičius         7.74
Mindaugas      Dapkus             7.60
Karolis        Misevičius         7.46
Ignas          Jasinskas          7.94
Deividas       Urbonas            5.31
Gabrielius     Morkūnas           5.26
Jonas          Paulauskas         8.29
Eimantas       Butkus             6.83
Arvydas        Jasinskas          7.34
Vytautas       Petrauskas         8.29
Ernestas       Sakalauskas        6.57
Karolis        Jankauskas         7.37
Simonas        Bagdonas           6.37
Šarūnas        Sabonis            5.31
Šarūnas        Balčiūnas          7.63
Giedrius       Bagdonas           8.37
Saulius        Balčiūnas          5.46
Mindaugas      Bagdonas           6.71
Vytautas       Petrauskas         5.74
Tomas          Kundrotas          5.37
Eimantas       Zelvys             7.03
Dovydas        Zelvys             6.86
Tomas          Sakalauskas        8.09
Aurimas        Paulauskas         8.37
Rokas          Kazlauskas         7.40
Mindaugas      Rutkauskas         6.37
Martynas       Kazlauskas         7.54
Ernestas       Matulis            7.51
Andrius        Pocius             6.17
Giedrius       Bagdonas           5.69
Ignas          Norkus             8.23
Jonas          Balsys             5.43
Saulius        Kundrotas          6.09
Ignas          Sabonis            5.37
Ernestas       Vaitkus            6.43
Ernestas       Kundrotas          7.66
Arnas          Dapkus             6.54
Justinas       Dapkus             8.74
Mindaugas      Matulis            6.11
Arvydas        Petraitis          6.43
Vytautas       Kairys             7.91
Jonas          Navickas           5.14
Eimantas       Žukauskas          6.29
Arnas          Jankauskas         7.71
Šarūnas        Petrauskas         7.97
Arnas          Paulauskas         7.11
Antanas        Kairys             6.40
Deividas       Stankevičius       8.00
Giedrius       Navickas           5.54
Deividas       Kundrotas          8.57
Ignas          Stankevičius       7.60
Andrius        Bagdonas           7.20
Antanas        Bagdonas           6.74
Karolis        Balsys             8.03
Simonas        Misevičius         7.00
Giedrius       Vaitkus            5.06
Arnas          Sakalauskas        5.89
Jonas          Zelvys             8.06
Martynas       Sakalauskas        6.86
Giedrius       Petrauskas         6.91
Dominykas      Norkus             6.34
Giedrius       Balsys             7.66
Ignas          Šimkus             8.29
Karolis        Balsys             8.46
Mindaugas      Norkus             6.86
Laurynas       Morkūnas           7.06
Mantas         Jankauskas         6.77
Dovydas        Juodka             5.66
Laurynas       Jankauskas         6.34
Edgaras        Dapkus             5.89
Saulius        Bagdonas           7.69
Edgaras        Sabonis            7.77
Saulius        Dapkus             6.57
Deividas       Juodka             7.23
Martynas       Navickas           5.31
Ernestas       Jasinskas          6.00
Vytautas       Jasinskas          7.77
Vilius         Norkus             6.71
Arvydas        Morkūnas           5.26
Deividas       Kundrotas          5.69
Aurimas        Rutkauskas         6.37
Mindaugas      Morkūnas           6.03
Mindaugas      Kairys             5.91
Ignas          Jasinskas          7.49
Martynas       Pocius             6.49
Gabrielius     Petraitis          6.97
Giedrius       Juodka             7.91
Ignas          Petrauskas         6.14
Aurimas        Bagdonas           7.49
Arnas          Pocius             7.74
Tomas          Kundrotas          5.89
Paulius        Balsys             7.71
Karolis        Petraitis          7.83
Arnas          Matulis            6.91
Justinas       Vaičiūnas          8.11
Justinas       Bagdonas           5.77
Laurynas       Balčiūnas          6.09
Arnas          Rutkauskas         5.09
Andrius        Bagdonas           7.00
Deividas       Zelvys             7.77
Rokas          Jankauskas         6.43
Šarūnas        Balsys             7.54
Karolis        Zelvys             6.29
Arvydas        Pocius             6.06
Paulius        Rutkauskas         6.31
Simonas        Kairys             7.23
Laurynas       Petraitis          6.60
Giedrius       Rutkauskas         7.77
Vytautas       Vaičiūnas          7.57
Arvydas        Vaičiūnas          6.94
Tomas          Rutkauskas         8.26
Eimantas       Paulauskas         8.17
Vytautas       Žukauskas          7.06
Arnas          Stankevičius       5.23
Andrius        Dapkus             5.71
Laurynas       Morkūnas           5.89
Martynas       Kairys             5.46
Karolis        Sabonis            7.94
Deividas       Misevičius         5.97
Vytautas       Jankauskas         7.37
Arnas          Bagdonas           7.71
Ignas          Juodka             5.31
Dominykas      Butkus             7.77
Mantas         Dapkus             6.60
Arnas          Rutkauskas         5.29
Tomas          Sakalauskas        6.66
Arnas          Jasinskas          6.14
Antanas        Dapkus             5.71
Laurynas       Kairys             6.14
Vytautas       Sakalauskas        8.00
Vytautas       Misevičius         6.66
Rokas          Misevičius         5.26
Karolis        Paulauskas         6.20
Ernestas       Vaičiūnas          7.46
Dominykas      Vaičiūnas          6.31
Tomas          Balsys             5.74
Antanas        Norkus             7.23
Simonas        Matulis            6.14
Antanas        Norkus             6.23
Simonas        Kazlauskas         5.91
Giedrius       Juodka             7.94
Karolis        Kazlauskas         8.34
Gabrielius     Dapkus             7.69
Eimantas       Morkūnas           6.00
Mindaugas      Šimkus             5.97
Mindaugas      Kairys             7.71
Dominykas      Kairys             8.23
Jonas          Kundrotas          6.77
Karolis        Balsys             7.94
Andrius        Misevičius         5.63
Gabrielius     Urbonas            7.83
Vilius         Petraitis          7.89
Karolis        Vaičiūnas          6.83
Jonas          Paulauskas         7.74
Ignas          Kundrotas          7.71
Lukas          Balsys             7.09
Eimantas       Vaičiūnas          5.86
Ernestas       Juodka             8.91
Martynas       Sakalauskas        5.74
Dovydas        Juodka             5.71
Jonas          Jankauskas         5.94
Eimantas       Petrauskas         6.71
Arvydas        Kazlauskas         5.80
Gabrielius     Balčiūnas          6.23
Martynas       Stankevičius       6.43
Eimantas       Bagdonas           6.37
Rokas          Vaičiūnas          5.71
Giedrius       Balsys             6.80
Arnas          Paulauskas         6.40
Vytautas       Balsys             6.20
Arnas          Petrauskas         6.03
Jonas          Sakalauskas        8.20
Arnas          Paulauskas         6.91
Ernestas       Bagdonas           5.40
Saulius        Matulis            6.94
Tomas          Dapkus             6.49
Mindaugas      Dapkus             8.29
Arnas          Butkus             8.06
Ernestas       Zelvys             5.14
Arvydas        Urbonas            6.43
Deividas       Sabonis            7.26
Deividas       Juodka             5.66
Paulius        Jankauskas         6.46
Šarūnas        Balsys             5.89
Giedrius       Kazlauskas         7.80
Gabrielius     Jasinskas          6.37
Dominykas      Šimkus             5.37
Tomas          Paulauskas         7.03
Martynas       Žukauskas          5.57
Rokas          Butkus             6.43
Arnas          Šimkus             5.49
Aurimas        Bagdonas           6.71
Lukas          Jankauskas         8.91
Mantas         Petraitis          7.69
Lukas          Vaičiūnas          6.17
Mindaugas      Butkus             5.83
Giedrius       Pocius             7.66
Ernestas       Sakalauskas        7.20
Mindaugas      Kairys             7.83
Justinas       Žukauskas          8.34
Saulius        Matulis            5.97
Gabrielius     Vaičiūnas          5.29
Gabrielius     Butkus             8.03
Martynas       Žukauskas          7.20
Rokas          Butkus             5.20
Justinas       Juodka             8.63
Laurynas       Zelvys             8.17
Ernestas       Stankevičius       7.60
Arnas          Petraitis          6.86
Simonas        Sabonis            7.37
Arnas          Juodka             5.11
Jonas          Jasinskas          8.06
Antanas        Morkūnas           6.00
Jonas          Šimkus             7.94
Edgaras        Žukauskas          7.51
Saulius        Misevičius         8.51
Lukas          Sabonis            8.74
Vytautas       Sabonis            8.23
Vilius         Sabonis            7.77
Paulius        Juodka             6.43
Rokas          Urbonas            7.97
Dominykas      Juodka             5.31
Simonas        Sakalauskas        6.14
Ignas          Norkus             5.77
Mindaugas      Paulauskas         7.17
Paulius        Sabonis            5.14
Gabrielius     Misevičius         5.40
Martynas       Petrauskas         7.20
Mantas         Jankauskas         5.89
Vilius         Jasinskas          8.74
Vilius         Jankauskas         6.14
Arvydas        Petrauskas         6.69
Laurynas       Norkus             5.17
Aurimas        Stankevičius       8.23
Deividas       Butkus             7.31
Šarūnas        Rutkauskas         5.40
Arnas          Stankevičius       7.14
Ignas          Pocius             5.80
Justinas       Petrauskas         5.17
Martynas       Bagdonas           6.86
Vilius         Jasinskas          6.71
Vilius         Butkus             8.09
Jonas          Navickas           7.06
Mantas         Navickas           5.37
Edgaras        Pocius             7.80
Giedrius       Sabonis            8.51
Martynas       Rutkauskas         8.86
Vilius         Kazlauskas         5.06
Laurynas       Žukauskas          8.51
Simonas        Pocius             7.43
Ignas          Kazlauskas         7.89
Martynas       Balsys             5.97
Arnas          Žukauskas          6.40
Edgaras        Žukauskas          8.34
Antanas        Balsys             7.11
Andrius        Zelvys             5.83
Laurynas       Balčiūnas          5.00
Saulius        Urbonas            8.69
Aurimas        Norkus             5.17
Laurynas       Kazlauskas         6.97
Ernestas       Juodka             7.03
Gabrielius     Balsys             7.03
Lukas          Kazlauskas         8.37
Tomas          Zelvys             7.94
Simonas        Norkus             7.34
Šarūnas        Rutkauskas         8.03
Arnas          Petraitis          6.94
Martynas       Butkus             6.94
Eimantas       Vaitkus            7.46
Arvydas        Stankevičius       6.54
Dominykas      Balčiūnas          6.97
Jonas          Petrauskas         5.31
Tomas          Sakalauskas        5.14
Mantas         Kundrotas          8.17
Dovydas        Paulauskas         8.29
Deividas       Sabonis            7.17
Eimantas       Matulis            6.91
Dominykas      Bagdonas           6.31
Mindaugas      Stankevičius       6.31
Dovydas        Kairys             5.69
Paulius        Matulis            8.17
Giedrius       Vaičiūnas          7.20
Giedrius       Dapkus             7.94
Edgaras        Misevičius         6.94
Martynas       Sabonis            8.51
Mantas         Matulis            7.57
Dovydas        Balsys             7.37
Mindaugas      Rutkauskas         5.94
Laurynas       Pocius             6.37
Laurynas       Žukauskas          7.66
Antanas        Matulis            7.91
Dovydas        Juodka             8.11
Tomas          Stankevičius       5.74
Mindaugas      Balčiūnas          7.71
Jonas          Bagdonas           5.63
Giedrius       Stankevičius       5.94
Paulius        Misevičius         5.00
Vilius         Misevičius         6.80
Dovydas        Balčiūnas          5.83
Andrius        Matulis            8.91
Deividas       Sabonis            6.03
Tomas          Navickas           7.80
Vilius         Petraitis          6.03
Ernestas       Dapkus             5.17
Martynas       Bagdonas           6.06
Mindaugas      Norkus             7.54
Tomas          Stankevičius       8.03
Antanas        Jankauskas         7.37
Šarūnas        Žukauskas          7.89
Deividas       Urbonas            5.63
Laurynas       Juodka             5.00
Šarūnas        Kairys             7.29
Tomas          Norkus             6.14
Gabrielius     Butkus             5.89
Mindaugas      Norkus             8.86
Dominykas      Dapkus             6.06
Šarūnas        Butkus             8.14
Ernestas       Matulis            6.26
Vytautas       Rutkauskas         6.83
Mantas         Morkūnas           5.11
Vilius         Kazlauskas         6.91
Edgaras        Kairys             7.06
Giedrius       Balčiūnas          6.80
Simonas        Matulis            7.29
Ernestas       Juodka             5.37
Karolis        Matulis            8.29
Mindaugas      Kairys             8.97
Giedrius       Butkus             6.97
Saulius        Vaitkus            7.31
Deividas       Pocius             6.40
Paulius        Paulauskas         8.09
Andrius        Urbonas            5.14
Simonas        Jankauskas         8.06
Deividas       Šimkus             5.37
Paulius        Paulauskas         6.57
Gabrielius     Navickas           7.00
Justinas       Kundrotas          7.46
Lukas          Jasinskas          8.40
Giedrius       Pocius             5.09
Ernestas       Urbonas            6.71
Arnas          Navickas           6.63
Saulius        Kundrotas          7.40
Edgaras        Petraitis          6.14
Saulius        Urbonas            7.46
Dovydas        Rutkauskas         8.17
Justinas       Kairys             7.34
Ernestas       Kazlauskas         7.03
Šarūnas        Urbonas            8.31
Jonas          Pocius             6.26
Andrius        Misevičius         7.69
Dominykas      Juodka             6.69
Vilius         Morkūnas           5.94
Ignas          Morkūnas           6.43
Deividas       Kazlauskas         7.46
Eimantas       Vaitkus            6.71
Eimantas       Jasinskas          7.00
Simonas        Balčiūnas          7.89
Arvydas        Balčiūnas          7.83
Gabrielius     Balsys             5.57
Ignas          Morkūnas           8.40
Laurynas       Vaičiūnas          5.46
Antanas        Bagdonas           5.83
Mantas         Žukauskas          8.14
Karolis        Dapkus             8.37
Jonas          Stankevičius       7.74
Dominykas      Kundrotas          6.37
Šarūnas        Vaičiūnas          7.94
Paulius        Kairys             6.80
Mantas         Žukauskas          5.71
Mantas         Bagdonas           6.49
Aurimas        Dapkus             8.34
Simonas        Morkūnas           7.46
Rokas          Jankauskas         5.69
Ernestas       Pocius             6.71
Eimantas       Bagdonas           5.71
Deividas       Kairys             5.29
Lukas          Jasinskas          6.74
Lukas          Balsys             6.69
Paulius        Balčiūnas          7.31
Gabrielius     Morkūnas           6.17
Eimantas       Urbonas            6.26
Lukas          Morkūnas           6.43
Vilius         Matulis            5.94
Vytautas       Misevičius         7.86
Martynas       Kairys             5.77
Martynas       Balsys             7.80
Antanas        Balsys             8.57
Saulius        Jankauskas         5.69
Mantas         Sakalauskas        8.17
Simonas        Petraitis          6.80
Vytautas       Misevičius         8.80
Mantas         Paulauskas         6.74
Andrius        Butkus             7.80
Paulius        Kundrotas          7.54
Jonas          Jankauskas         6.86
Vilius         Jasinskas          8.06
Dominykas      Petrauskas         6.51
Eimantas       Balčiūnas          6.00
Laurynas       Jasinskas          6.46
Jonas          Petrauskas         8.11
Lukas          Bagdonas           8.51
Arnas          Šimkus             8.06
Dovydas        Šimkus             8.17
Justinas       Petraitis          5.29
Dominykas      Rutkauskas         6.03
Saulius        Butkus             5.03
Paulius        Zelvys             7.03
Karolis        Norkus             7.37
Saulius        Matulis            5.23
Laurynas       Bagdonas           6.31
Eimantas       Petrauskas         6.74
Antanas        Jasinskas          5.83
Rokas          Sakalauskas        5.49
Rokas          Balsys             6.66
Antanas        Zelvys             6.06
Rokas          Sakalauskas        7.49
Paulius        Morkūnas           7.94
Giedrius       Žukauskas          5.94
Paulius        Balsys             6.20
Simonas        Vaitkus            7.23
Arvydas        Misevičius         6.77
Justinas       Jankauskas         5.80
Simonas        Jasinskas          6.60
Martynas       Navickas           8.74
Aurimas        Navickas           7.49
Saulius        Sabonis            5.97
Saulius        Vaičiūnas          6.37
Dovydas        Dapkus             6.71
Dominykas      Dapkus             5.89
Vytautas       Urbonas            6.91
Eimantas       Morkūnas           5.66
Saulius        Morkūnas           6.63
Arvydas        Paulauskas         7.74
Simonas        Kairys             6.83
Karolis        Misevičius         5.20
Aurimas        Jasinskas          7.37
Arvydas        Butkus             5.51
Simonas        Kairys             7.86
Mindaugas      Šimkus             5.89
Giedrius       Navickas           5.40
Vytautas       Juodka             6.14
Eimantas       Butkus             7.00
Aurimas        Jankauskas         7.11
Antanas        Butkus             7.14
Aurimas        Vaičiūnas          5.57
Mantas         Petrauskas         7.86
Karolis        Vaitkus            8.09
Arnas          Žukauskas          5.14
Dominykas      Jasinskas          5.37
Saulius        Kazlauskas         7.03
Šarūnas        Šimkus             6.03
