Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Martynas Petraitis 7 9 8 4 6 7 6 10 7 1 8 1 10 6 10 6
Mindaugas Rutkauskas 8 3 3 8 4 6 3 1 9 7 3 3 8 10 8 5
Antanas Zelvys 1 10 2 3 5 5 9 10 3 6 5 9 2 5 3 3
Eimantas Šimkus 1 3 4 2 5 1 6 3 5 10 5 4 5 9 7 2
Tomas Butkus 6 1 4 8 4 9 8 1 10 3 2 2 6 1 6 2
Saulius Butkus 3 1 1 9 1 4 3 9 6 6 10 7 3 1 7 10
Aurimas Norkus 4 2 4 2 6 5 4 2 4 1 8 7 7 7 7 8
Saulius Balčiūnas 5 8 2 4 6 1 10 2 4 8 4 5 9 1 10 7
Saulius Kazlauskas 9 4 5 8 6 3 10 3 2 5 2 10 6 10 2 2
Šarūnas Rutkauskas 5 3 8 2 3 4 4 10 9 6 1 10 2 1 9 3
Dominykas Kundrotas 10 2 7 8 10 9 7 10 1 7 9 3 3 7 4 9
Laurynas Dapkus 5 8 7 3 3 5 4 10 7 4 5 2 2 6 2 7
Simonas Matulis 4 7 2 4 2 6 1 8 4 4 7 8 1 10 5 5
Deividas Balčiūnas 9 2 6 6 7 8 3 10 4 2 3 8 7 7 6 5
Mantas Morkūnas 8 8 1 8 5 8 8 1 6 4 7 4 9 1 1 1
Dominykas Petrauskas 3 1 8 8 6 4 1 7 9 10 1 1 9 6 1 2
Tomas Vaičiūnas 1 2 5 3 9 4 2 5 6 1 4 2 2 10 6 2
Vilius Butkus 6 4 9 10 9 6 10 9 2 7 7 7 7 3 9 8
Ignas Misevičius 7 8 8 1 8 10 9 9 7 2 9 1 1 9 9 10
Mantas Pocius 9 9 1 2 3 1 7 6 10 9 6 8 10 9 5 6
Paulius Morkūnas 2 4 3 3 2 7 3 8 6 8 4 7 7 4 4 7
Karolis Zelvys 9 10 5 3 2 1 5 6 3 7 1 5 5 3 9 5
Martynas Petraitis 6 2 2 6 4 9 9 6 9 5 10 3 1 9 7 3
Dominykas Rutkauskas 9 9 1 3 5 5 4 7 5 1 8 9 2 9 8 2
Antanas Kundrotas 2 3 8 8 8 8 3 8 8 6 4 8 9 5 3 10
Martynas Norkus 9 1 7 8 4 1 9 1 2 4 5 8 5 2 2 7
Lukas Zelvys 4 1 7 1 1 9 9 1 7 5 2 4 1 9 5 2
Eimantas Navickas 2 8 7 5 2 9 6 4 2 1 10 8 1 7 7 1
Edgaras Paulauskas 6 10 2 6 7 10 4 6 1 5 3 2 5 9 2 3
Deividas Kundrotas 5 1 5 6 3 5 3 6 1 9 4 8 2 9 4 2
Deividas Norkus 6 2 6 5 10 7 10 5 1 8 1 2 5 8 9 8
Rokas Urbonas 3 10 8 10 10 4 9 4 9 2 9 6 10 10 7 7
Mantas Balčiūnas 6 2 4 2 2 8 1 4 4 7 2 2 8 7 7 6
Antanas Paulauskas 3 2 8 3 3 10 6 3 3 3 4 1 4 1 1 4
Lukas Matulis 5 1 1 10 1 4 7 5 1 5 1 8 8 3 7 4
Karolis Balsys 8 2 5 6 8 6 10 2 9 10 1 3 4 9 1 5
Mindaugas Sakalauskas 10 5 9 2 10 10 2 6 6 3 7 10 3 10 6 10
Aurimas Šimkus 8 3 5 1 6 3 4 3 8 5 2 3 5 2 10 3
Simonas Kazlauskas 4 7 2 8 5 8 8 8 6 9 5 9 5 6 9 9
Andrius Žukauskas 1 3 3 3 3 3 8 6 9 4 1 8 4 3 6 1
Justinas Juodka 6 6 3 1 10 8 4 8 7 2 2 9 2 3 6 5
Saulius Vaitkus 2 6 1 7 9 1 7 9 10 7 6 5 8 4 4 4
Karolis Urbonas 1 1 3 3 10 8 10 6 3 8 7 9 5 9 4 2
Dominykas Sakalauskas 3 7 5 3 3 5 5 2 7 1 7 5 1 8 7 3
Vilius Jankauskas 4 1 2 6 4 5 4 8 2 7 1 7 8 2 7 10
Mantas Sakalauskas 4 1 9 10 6 5 6 2 7 5 3 3 3 10 3 1
Laurynas Sakalauskas 8 3 6 8 8 9 2 2 9 4 2 4 1 6 3 5
Vytautas Vaitkus 10 7 1 9 2 6 4 5 9 7 1 1 8 3 5 9
Ignas Jasinskas 10 6 8 2 1 3 2 7 6 2 10 4 8 7 8 1
Ernestas Zelvys 5 7 9 7 4 2 3 9 2 8 9 9 7 5 5 4
Gabrielius Sakalauskas 2 4 8 5 6 3 2 9 7 3 9 8 3 10 4 3
Laurynas Kairys 7 1 8 5 1 2 1 2 3 7 1 1 2 4 2 1
Simonas Sakalauskas 9 8 3 8 4 8 5 6 6 10 8 3 9 2 2 4
Martynas Žukauskas 7 2 1 2 7 2 8 6 1 3 7 10 1 9 4 8
Aurimas Norkus 4 2 5 9 9 9 7 5 6 4 8 4 2 3 3 4
Saulius Butkus 9 10 3 3 2 4 5 9 10 9 3 2 3 10 9 7
Justinas Balsys 5 5 8 3 9 10 8 5 8 2 2 7 6 1 6 8
Šarūnas Pocius 9 4 9 10 9 9 3 9 2 6 2 2 6 2 5 2
Tomas Morkūnas 9 7 10 10 6 8 10 8 7 8 2 2 1 8 3 9
Vytautas Misevičius 4 1 6 7 8 9 3 8 1 8 5 1 9 1 5 3
Vilius Juodka 2 6 5 4 9 6 2 10 9 7 2 4 5 7 8 5
Tomas Matulis 1 1 6 8 10 6 8 7 6 3 9 10 9 5 6 2
Šarūnas Morkūnas 10 4 6 8 4 5 9 1 5 10 7 7 5 8 10 6
Vilius Misevičius 8 7 5 8 7 9 5 5 9 3 3 3 2 7 2 3
Mantas Norkus 1 6 4 9 2 1 7 3 1 8 7 6 7 2 9 9
Andrius Kazlauskas 6 7 2 5 6 5 10 4 4 4 2 7 1 8 1 8
Simonas Sabonis 6 3 3 3 10 6 10 5 10 10 4 2 9 6 1 2
Paulius Vaitkus 6 1 10 4 2 7 1 6 6 5 3 6 2 4 2 7
Jonas Sakalauskas 5 10 9 7 2 3 4 10 9 3 3 5 3 3 10 8
Jonas Misevičius 6 3 4 4 9 1 2 7 2 2 5 4 4 1 3 3
Karolis Kundrotas 2 9 2 4 5 6 9 6 5 8 6 8 10 1 6 2
Gabrielius Vaitkus 2 7 10 9 10 5 9 8 8 9 9 2 2 4 4 7
Vytautas Vaitkus 1 6 8 4 10 2 3 5 5 8 5 2 1 4 7 4
Rokas Kundrotas 5 8 8 8 3 1 6 6 1 7 7 6 1 9 3 9
Deividas Morkūnas 7 8 1 1 4 6 9 8 2 6 3 3 10 5 4 7
Eimantas Pocius 5 5 4 3 3 7 3 4 7 2 9 5 6 2 10 7
Gabrielius Bagdonas 5 2 8 3 6 9 4 2 9 1 4 9 3 1 10 7
Arvydas Butkus 3 7 9 9 3 9 8 8 4 5 9 2 1 8 2 6
Eimantas Sabonis 7 10 8 9 10 8 4 3 8 5 3 2 10 6 1 10
Tomas Balsys 3 8 4 3 6 8 7 6 3 4 2 3 1 1 6 6
Dominykas Urbonas 2 7 7 6 6 1 6 1 6 4 6 2 4 3 5 4
Šarūnas Misevičius 6 9 3 5 6 10 6 8 2 8 9 6 6 6 7 8
Ernestas Kazlauskas 6 1 10 9 4 8 1 3 3 5 2 7 10 10 8 5
Vytautas Kairys 10 7 1 3 10 8 9 5 6 3 1 6 1 8 4 3
Deividas Petraitis 9 10 4 3 7 5 9 3 7 4 4 7 4 4 6 9
Eimantas Žukauskas 9 1 7 2 6 8 10 7 1 4 5 8 7 4 10 4
Paulius Norkus 3 1 9 9 9 10 5 2 6 9 9 8 7 8 7 5
Mindaugas Zelvys 7 6 4 8 7 9 10 3 7 3 10 3 1 4 9 8
Vilius Matulis 6 1 10 10 7 1 7 7 1 5 1 2 5 7 8 10
Dovydas Kundrotas 1 9 7 4 2 6 1 9 2 7 6 3 1 1 8 9
Paulius Morkūnas 5 9 2 1 10 3 5 4 1 1 6 6 7 2 6 3
Ignas Šimkus 1 9 4 7 6 5 7 9 3 8 5 9 1 10 7 10
Dominykas Petraitis 6 4 7 7 2 1 9 6 5 10 3 9 4 8 10 5
Šarūnas Šimkus 5 1 4 4 10 9 10 1 6 5 10 4 3 2 1 5
Paulius Stankevičius 6 4 8 7 4 7 8 8 7 9 9 7 1 10 3 9
Dovydas Butkus 2 8 5 7 1 2 6 4 3 9 1 4 2 5 10 3
Lukas Urbonas 3 4 10 9 4 2 5 6 5 2 4 2 5 1 10 2
Tomas Matulis 10 3 6 5 4 10 8 5 3 8 2 8 6 6 4 8
Lukas Vaitkus 9 1 5 5 9 8 3 5 8 8 6 9 9 9 9 7
Ignas Vaičiūnas 8 9 2 7 5 7 6 4 3 5 3 10 6 8 3 10
Aurimas Kairys 2 8 1 2 6 8 10 8 1 4 2 8 9 1 8 8
Šarūnas Jasinskas 7 10 10 2 2 4 8 3 4 10 4 8 10 10 1 10
Karolis Stankevičius 3 2 2 7 7 1 1 3 5 2 1 1 4 6 8 5
Andrius Matulis 10 7 4 5 3 10 2 7 5 2 5 9 9 1 7 7
Laurynas Dapkus 9 3 8 2 4 9 6 5 9 6 9 5 5 10 10 7
Antanas Paulauskas 8 8 9 3 7 2 9 9 8 6 4 4 4 8 4 1
Edgaras Balčiūnas 5 10 5 8 5 7 6 7 7 5 2 1 5 7 5 9
Dovydas Pocius 5 6 4 9 6 5 9 7 1 4 2 9 8 9 2 2
Edgaras Dapkus 4 1 4 7 5 3 8 10 9 8 10 10 10 8 3 4
Dominykas Kazlauskas 7 7 7 2 4 4 9 6 7 9 10 5 3 9 10 7
Arnas Zelvys 6 10 10 1 8 1 4 7 7 7 3 2 3 6 3 6
Tomas Misevičius 10 9 9 2 4 5 4 10 8 2 9 6 9 2 1 2
Aurimas Stankevičius 3 10 4 7 1 7 3 9 5 5 9 8 6 2 10 3
Dovydas Jankauskas 9 3 8 7 1 7 5 8 5 4 1 2 6 10 10 4
Eimantas Paulauskas 8 9 5 3 1 3 2 6 7 10 5 9 5 6 2 8
Paulius Petraitis 5 2 8 3 6 4 4 7 2 5 8 4 9 6 1 7
Tomas Paulauskas 1 7 8 9 1 6 2 5 4 5 4 10 6 6 6 9
Arvydas Jasinskas 5 7 3 1 7 5 5 6 1 3 8 10 9 10 9 5
Paulius Stankevičius 7 6 8 8 9 10 9 6 2 1 10 8 9 7 9 8
Simonas Petraitis 3 8 6 10 2 3 9 3 7 7 8 7 6 2 1 9
Karolis Šimkus 2 9 7 4 7 7 7 10 1 7 1 1 1 2 10 9
Arvydas Balsys 6 6 4 6 2 1 3 5 5 6 3 10 6 9 10 10
Rokas Norkus 1 10 3 1 9 10 5 8 3 2 9 1 8 4 6 5
Eimantas Pocius 8 6 7 3 6 2 7 8 6 1 5 9 4 2 9 7
Martynas Matulis 2 10 10 3 6 7 7 2 7 5 2 3 7 8 5 2
Martynas Balčiūnas 5 2 3 4 4 7 5 2 5 7 7 8 5 8 6 1
Dovydas Dapkus 3 1 8 3 5 6 9 9 1 5 6 4 5 7 9 1
Simonas Petrauskas 5 9 7 5 4 3 9 5 5 2 3 10 6 10 4 7
Simonas Butkus 1 10 9 1 9 10 2 4 3 9 4 6 8 8 4 1
Aurimas Sakalauskas 4 3 2 3 7 6 6 3 4 5 4 9 1 4 10 2
Antanas Paulauskas 9 10 2 9 10 6 7 6 6 3 5 4 7 7 3 4
Laurynas Dapkus 9 1 1 4 3 8 4 3 1 4 9 6 6 9 8 5
Simonas Butkus 5 6 5 3 1 4 5 6 4 5 5 1 8 2 4 8
Saulius Navickas 8 9 4 9 4 4 7 7 9 10 8 2 1 9 6 7
Mindaugas Zelvys 3 3 5 2 8 1 9 2 10 9 8 3 8 5 3 7
Aurimas Juodka 6 9 8 3 9 3 2 1 10 5 8 7 7 5 8 5
Martynas Jankauskas 8 7 7 9 4 1 5 4 4 3 7 9 9 7 3 5
Saulius Misevičius 4 2 7 7 3 1 5 5 8 4 2 6 6 4 2 2
Antanas Rutkauskas 10 8 8 5 7 3 1 5 1 6 7 7 9 6 5 8
Jonas Stankevičius 5 2 1 7 10 2 3 3 1 1 6 10 3 1 7 6
Vilius Petrauskas 5 1 9 2 9 2 10 4 3 7 7 5 4 7 2 9
Justinas Misevičius 2 2 4 10 7 9 7 5 2 3 10 3 3 4 3 2
Deividas Jankauskas 2 4 9 2 4 6 8 2 3 8 8 5 4 7 9 5
Tomas Vaitkus 9 2 7 6 2 4 1 7 8 6 3 10 8 5 9 3
Karolis Vaitkus 4 6 4 8 3 9 9 9 8 5 5 3 7 9 3 8
Gabrielius Dapkus 8 10 1 10 9 2 9 5 2 8 4 5 6 3 10 4
Jonas Norkus 10 1 6 7 9 8 7 10 2 5 2 2 4 4 4 10
Aurimas Vaitkus 4 4 10 3 8 6 5 6 10 3 4 6 3 6 5 10
Deividas Kundrotas 6 6 4 9 8 9 6 10 5 7 6 7 8 2 1 3
Arvydas Jasinskas 6 9 4 3 3 1 3 3 4 6 10 2 8 4 9 5
Dominykas Jankauskas 10 3 4 6 3 8 3 9 6 3 7 3 2 4 1 6
Dovydas Petraitis 4 6 5 10 7 5 4 9 2 8 2 7 6 1 3 7
Edgaras Vaičiūnas 5 6 10 5 9 6 1 6 8 6 4 5 4 8 3 10
Deividas Kazlauskas 3 10 9 8 1 6 9 5 9 10 3 2 9 9 4 10
Šarūnas Misevičius 9 7 5 7 5 7 5 10 9 1 7 9 5 5 7 9
Aurimas Vaitkus 1 1 10 7 1 7 10 4 3 1 9 7 7 6 4 2
Andrius Sakalauskas 5 8 10 2 10 8 5 5 10 4 9 7 4 2 2 1
Gabrielius Stankevičius 10 10 7 3 10 7 10 6 2 1 5 9 10 3 9 5
Paulius Stankevičius 9 7 8 7 1 6 9 9 10 4 7 8 5 10 7 7
Edgaras Bagdonas 9 5 10 4 2 9 7 1 9 1 5 4 8 6 5 6
Antanas Navickas 8 8 5 1 5 9 9 4 2 6 9 1 3 5 1 7
Dominykas Petraitis 7 1 3 5 10 10 6 3 8 4 8 5 7 5 8 6
Paulius Petraitis 2 2 10 9 10 4 10 5 5 9 1 4 2 3 10 1
Simonas Šimkus 7 3 3 7 10 10 3 10 6 2 2 9 9 3 3 8
Dominykas Morkūnas 5 7 3 4 5 9 4 3 10 5 3 1 7 10 10 10
Saulius Žukauskas 9 2 2 5 8 3 9 4 3 5 3 10 10 1 9 5
Aurimas Sabonis 4 9 3 8 1 2 2 8 1 6 10 10 7 6 6 3
Eimantas Sabonis 10 7 10 8 10 9 10 9 1 6 4 3 9 6 2 10
Justinas Pocius 4 9 8 4 10 10 6 9 3 9 1 3 1 7 1 9
Arvydas Zelvys 10 10 7 9 6 8 6 5 8 2 10 8 2 1 2 8
Vilius Jankauskas 4 10 1 8 3 8 7 10 9 10 1 4 5 9 2 2
Arnas Vaičiūnas 9 6 2 10 2 7 7 8 1 3 3 6 10 4 4 4
Jonas Kairys 4 4 10 7 2 9 9 5 1 1 1 8 5 9 9 7
Mindaugas Stankevičius 4 7 8 5 8 6 2 9 7 8 8 5 3 6 5 4
Aurimas Jankauskas 1 9 1 3 6 4 3 10 3 4 3 10 6 3 8 7
Lukas Matulis 8 8 2 5 6 3 9 6 9 2 1 8 8 9 10 3
Andrius Stankevičius 1 8 6 8 3 9 4 2 5 9 2 7 3 7 9 9
Dovydas Žukauskas 6 2 1 10 5 3 2 4 2 7 9 5 4 8 8 6
Karolis Petrauskas 10 10 2 5 8 4 5 1 10 10 8 3 1 8 3 5
Martynas Vaičiūnas 3 2 7 1 10 8 5 3 6 3 6 4 1 10 10 4
Saulius Pocius 1 1 1 2 10 5 1 1 2 7 10 1 8 4 4 10
Jonas Dapkus 10 1 7 1 3 9 4 10 10 2 1 3 2 8 9 6
Dovydas Kazlauskas 10 8 8 5 3 5 9 3 3 1 7 7 8 5 3 2
Jonas Kundrotas 1 10 9 1 6 7 3 2 8 2 8 7 3 10 7 6
Karolis Petrauskas 5 7 8 9 3 3 3 7 2 6 6 6 3 7 8 3
Deividas Rutkauskas 2 3 6 7 2 9 10 9 2 4 7 8 2 4 3 1
Ignas Dapkus 1 7 6 8 4 6 4 2 6 8 7 8 10 10 8 8
Jonas Balčiūnas 4 6 5 6 1 6 6 3 8 9 1 9 6 2 10 9
Aurimas Petraitis 6 9 6 6 9 6 6 6 1 8 3 10 5 7 2 1
Paulius Jankauskas 2 4 8 2 6 1 4 10 7 5 1 5 9 5 2 2
Mindaugas Paulauskas 5 1 6 4 2 8 2 9 1 1 5 10 7 4 5 9
Jonas Dapkus 9 7 10 9 1 5 5 1 10 5 5 6 9 2 6 10
Antanas Jasinskas 5 1 10 8 2 5 7 2 8 3 2 8 4 5 7 10
Saulius Matulis 3 7 1 4 3 4 6 7 5 6 9 3 1 10 10 4
Antanas Petrauskas 4 6 6 9 8 7 1 5 2 5 6 8 10 1 10 6
Gabrielius Vaitkus 3 7 4 4 8 7 10 8 1 10 8 3 3 5 5 4
Gabrielius Žukauskas 10 1 4 7 4 2 8 6 8 7 5 8 1 4 5 3
Saulius Paulauskas 8 3 5 10 5 8 1 1 10 4 4 1 6 3 7 1
Aurimas Rutkauskas 3 8 7 3 9 7 7 8 10 3 1 3 1 5 4 7
Antanas Norkus 8 7 1 9 8 8 10 1 2 1 9 8 9 1 6 10
Andrius Norkus 8 10 5 7 7 6 7 5 4 7 5 2 4 9 10 6
Karolis Jasinskas 7 1 4 3 4 1 10 3 6 3 1 7 6 4 2 8
Eimantas Balsys 7 1 8 9 1 7 10 3 9 2 2 5 5 10 7 1
Saulius Rutkauskas 7 10 9 7 4 10 4 5 6 3 8 2 4 5 10 3
Eimantas Kazlauskas 5 7 7 4 1 5 6 7 5 8 10 9 7 10 2 1
Ernestas Petrauskas 7 5 3 5 8 7 9 10 3 2 7 8 9 6 8 3
Lukas Kairys 8 1 9 1 7 7 3 8 2 5 5 3 9 6 3 5
Dovydas Misevičius 9 3 4 6 8 8 8 3 7 1 6 3 6 6 2 9
Vilius Petraitis 2 3 10 9 7 7 2 3 5 6 6 2 2 1 5 1
Aurimas Stankevičius 3 4 8 5 6 3 9 6 9 1 8 5 2 3 2 7
Vytautas Matulis 5 2 8 4 3 6 2 9 9 6 6 1 10 3 5 4
Deividas Pocius 5 9 4 10 3 5 9 3 2 3 7 1 7 7 8 6
Laurynas Misevičius 3 10 5 3 2 10 4 4 2 9 8 1 3 1 4 3
Martynas Petraitis 7 4 7 7 1 2 5 8 10 10 8 6 9 6 5 2
Arvydas Matulis 1 1 7 9 4 2 2 4 10 1 6 4 8 9 7 7
Andrius Vaitkus 6 1 8 5 5 9 8 1 7 8 2 10 4 8 1 2
Rokas Dapkus 2 7 4 5 5 4 3 2 2 8 2 6 3 4 3 1
Šarūnas Žukauskas 9 6 10 10 9 8 6 8 5 5 7 4 7 6 5 10
Giedrius Matulis 4 10 2 4 8 6 10 1 10 9 1 5 1 5 3 5
Karolis Vaičiūnas 2 4 5 3 9 10 8 8 3 5 1 7 8 5 1 1
Arnas Morkūnas 8 7 6 3 5 2 1 7 6 1 1 2 5 10 5 1
Arvydas Morkūnas 3 9 4 8 5 10 5 1 9 10 9 9 1 9 4 9
Vilius Sabonis 7 5 8 10 5 1 4 8 7 10 8 3 5 5 4 7
Ernestas Juodka 2 4 5 2 6 8 8 10 2 6 5 9 10 2 9 5
Giedrius Zelvys 3 5 6 7 2 4 10 3 3 5 6 6 8 8 5 3
Deividas Vaitkus 1 9 3 4 10 1 7 4 4 9 5 3 9 9 7 9
Saulius Zelvys 10 3 7 8 6 3 1 7 1 8 4 10 1 7 1 7
Tomas Petrauskas 9 7 4 8 5 2 1 2 6 3 1 5 1 6 4 1
Šarūnas Norkus 8 5 5 10 5 7 6 2 3 10 9 6 10 10 2 4
Mantas Matulis 10 2 3 10 8 10 7 6 4 6 3 4 4 4 9 3
Rokas Vaičiūnas 10 9 3 2 9 2 3 7 3 3 7 5 3 10 10 2
Ignas Jankauskas 5 3 2 7 9 4 2 6 5 4 8 9 1 7 4 8
Karolis Kairys 4 9 3 4 9 9 4 6 4 9 1 2 6 1 6 10
Justinas Urbonas 9 2 10 8 2 9 5 3 8 1 4 4 1 7 1 3
Vilius Zelvys 4 4 5 7 4 3 1 7 5 9 4 3 6 10 2 1
Lukas Kundrotas 9 9 6 7 3 6 2 2 9 7 3 1 1 9 9 6
Vytautas Butkus 4 6 8 10 7 9 7 4 4 9 8 6 7 5 6 3
Laurynas Kairys 6 1 3 3 1 6 1 2 3 1 9 10 4 5 6 10
Rokas Kundrotas 2 3 6 4 8 10 5 4 8 10 2 1 6 9 4 3
Vilius Juodka 1 6 4 2 7 1 6 10 8 4 3 6 8 6 6 4
Laurynas Misevičius 9 8 2 10 4 8 2 5 6 6 4 1 9 8 2 2
Tomas Morkūnas 10 9 7 4 5 7 5 1 9 8 1 10 4 5 4 4
Vilius Matulis 2 4 7 2 1 3 1 4 8 3 10 6 10 1 7 5
Gabrielius Kazlauskas 10 1 9 10 2 9 7 6 6 2 1 5 10 5 9 7
Martynas Kazlauskas 2 2 6 1 9 1 7 3 1 9 1 4 1 2 8 5
Laurynas Juodka 8 8 10 7 9 10 10 2 10 9 9 8 4 2 3 7
Ignas Rutkauskas 3 9 7 4 8 8 5 7 1 6 10 3 5 1 3 8
Tomas Balčiūnas 9 7 7 7 10 7 8 5 3 9 10 2 8 10 10 4
Dovydas Rutkauskas 7 6 6 4 2 8 9 1 4 4 10 6 7 8 10 2
Šarūnas Petraitis 6 6 4 10 4 4 6 7 5 10 5 3 8 5 3 5
Edgaras Kazlauskas 8 4 8 6 7 9 3 6 5 8 10 7 6 4 9 3
Arnas Urbonas 4 3 7 10 4 7 5 4 1 6 10 10 2 5 9 6
Vilius Navickas 5 8 10 5 8 7 3 4 10 3 3 1 9 4 5 10
Ignas Zelvys 2 4 4 2 2 9 1 3 5 3 8 3 9 10 1 7
Lukas Norkus 5 9 9 3 6 2 9 1 3 1 1 7 2 5 1 9
Vilius Jasinskas 5 8 2 3 6 5 9 1 3 7 1 2 6 9 5 9
Eimantas Vaičiūnas 7 2 8 3 3 3 7 1 7 5 9 9 9 6 9 10
Vilius Rutkauskas 10 4 10 1 3 9 6 9 1 6 5 4 7 3 9 10
Jonas Misevičius 1 3 1 4 1 4 4 4 8 4 9 1 1 2 2 6
Saulius Kazlauskas 8 10 3 4 7 6 2 4 1 6 2 5 2 6 10 5
Andrius Sakalauskas 9 4 7 8 6 5 8 6 9 2 6 5 3 10 2 3
Rokas Šimkus 4 1 2 6 10 1 4 3 2 2 8 5 1 4 10 8
Mantas Petraitis 6 8 9 3 5 6 4 1 8 6 5 6 9 3 2 3
Martynas Petraitis 8 5 7 4 6 6 1 10 10 5 10 7 9 5 4 10
Simonas Petraitis 4 6 4 8 3 3 8 10 4 2 2 1 3 8 4 2
Šarūnas Pocius 1 5 7 7 6 6 2 10 1 3 8 2 2 7 9 3
Deividas Butkus 10 3 4 5 5 10 1 10 4 2 7 5 7 7 7 2
Karolis Butkus 4 7 5 2 2 3 6 1 7 7 6 5 5 3 9 2
Lukas Zelvys 3 5 8 1 10 5 10 10 3 4 7 1 4 1 10 6
Jonas Sabonis 3 9 7 4 2 2 4 6 2 9 9 6 1 2 1 8
Dominykas Dapkus 7 10 1 10 10 4 2 5 4 7 7 1 1 6 4 3
Edgaras Bagdonas 9 7 7 10 4 3 5 10 10 4 6 8 9 9 7 3
Antanas Rutkauskas 10 6 9 8 4 3 6 1 5 4 2 2 7 2 10 8
Ignas Žukauskas 9 2 10 7 9 9 8 10 8 5 5 3 5 9 6 5
Vilius Butkus 7 1 9 9 5 2 8 5 6 4 6 2 3 8 10 2
Arnas Vaitkus 2 5 1 3 7 4 2 1 5 2 9 1 10 8 7 3
Deividas Urbonas 7 5 10 6 10 7 7 8 4 10 1 2 8 7 1 1
Aurimas Urbonas 5 8 5 4 7 2 9 7 5 5 7 4 2 9 1 10
Eimantas Rutkauskas 1 5 2 8 2 6 10 10 7 5 9 9 1 6 10 1
Dominykas Morkūnas 4 5 7 5 8 6 8 4 10 9 5 9 8 4 4 4
Simonas Kairys 1 4 1 8 9 5 5 6 10 6 4 5 8 1 3 1
Vilius Sakalauskas 2 6 8 8 3 4 9 5 8 3 3 3 5 9 10 4
Arnas Kairys 4 10 8 8 7 1 3 8 9 7 3 6 6 2 7 7
Dominykas Žukauskas 8 3 6 8 5 9 10 4 8 4 1 6 1 6 3 1
Karolis Navickas 9 4 5 3 6 4 9 4 2 3 9 6 7 9 10 1
Eimantas Navickas 3 9 9 5 8 3 5 9 3 5 9 5 5 3 7 6
Dominykas Šimkus 8 7 1 9 9 8 2 2 3 10 4 9 6 1 10 8
Antanas Jasinskas 9 1 2 2 4 9 3 8 2 7 7 7 3 8 10 5
Lukas Stankevičius 2 6 1 9 9 9 1 8 1 4 3 9 5 2 1 9
Dominykas Stankevičius 1 4 7 1 5 9 6 4 10 8 5 10 3 4 10 6
Eimantas Jankauskas 6 5 1 7 10 1 3 1 10 5 1 6 8 5 10 1
Lukas Matulis 4 5 8 9 5 7 2 5 7 2 6 4 3 8 9 7
Jonas Rutkauskas 4 10 4 4 5 10 5 7 9 10 10 7 3 1 1 9
Tomas Pocius 5 4 5 1 2 7 6 7 10 10 2 7 4 8 6 7
Edgaras Misevičius 5 9 1 3 5 10 7 2 9 1 8 6 8 7 3 1
Ernestas Petrauskas 9 2 5 2 7 6 9 3 2 2 9 5 3 5 9 8
Deividas Jankauskas 9 10 4 2 5 10 8 3 8 6 10 2 1 7 7 6
Simonas Šimkus 9 3 7 8 6 7 10 10 1 5 10 9 3 10 5 3
Gabrielius Vaičiūnas 10 10 8 8 6 9 3 1 1 3 6 4 2 1 7 10
Giedrius Paulauskas 9 4 6 5 1 7 2 10 5 9 9 1 3 5 1 8
Dovydas Vaitkus 10 10 4 8 2 5 7 8 7 4 7 4 8 6 7 1
Andrius Kazlauskas 1 7 7 8 4 1 2 2 1 6 10 6 3 3 9 9
Martynas Misevičius 1 5 10 6 7 7 3 6 3 8 3 7 8 5 6 5
Arnas Zelvys 6 3 6 1 9 2 4 2 9 6 6 9 4 5 2 6
Aurimas Kairys 10 10 9 6 5 5 10 8 8 7 1 6 7 7 5 10
Simonas Kazlauskas 4 8 9 2 3 2 9 3 9 10 8 3 1 9 9 9
Aurimas Šimkus 2 3 6 6 1 9 4 10 5 10 6 3 8 8 2 10
Mindaugas Kundrotas 10 5 6 1 7 7 6 5 1 9 5 10 1 4 9 4
Justinas Vaitkus 6 8 4 6 2 8 4 9 10 10 3 2 9 5 5 1
Gabrielius Sabonis 10 8 4 4 8 8 2 10 10 6 10 9 2 10 9 8
Vilius Norkus 10 6 6 7 6 8 2 7 7 6 7 8 9 4 9 5
Karolis Urbonas 3 9 1 1 2 4 9 1 6 4 7 5 3 4 3 10
Simonas Stankevičius 6 5 9 2 5 1 3 6 2 5 7 10 7 3 5 6
Andrius Jankauskas 4 3 1 1 9 1 10 10 7 2 1 3 6 7 8 5
Saulius Juodka 4 5 2 1 5 10 2 9 7 4 10 8 8 3 3 7
Jonas Urbonas 10 8 2 10 4 6 2 8 6 1 4 5 6 6 4 3
Andrius Rutkauskas 2 9 8 10 3 3 7 3 9 6 10 8 1 5 4 6
Deividas Butkus 1 6 2 5 4 4 3 2 4 9 9 3 6 5 8 1
Mindaugas Urbonas 2 2 3 8 5 4 1 2 8 4 1 7 8 7 6 7
Lukas Dapkus 9 6 3 6 3 8 6 3 10 10 8 8 10 7 4 1
Dominykas Kazlauskas 1 1 10 7 4 9 6 3 7 3 9 7 4 6 9 9
Justinas Bagdonas 3 1 2 4 10 10 9 8 2 8 8 2 3 9 10 1
Vytautas Žukauskas 1 5 5 9 2 5 9 9 2 9 1 9 6 2 5 7
Martynas Petraitis 5 3 1 3 4 4 5 9 8 6 4 1 6 8 5 10
